este livro é sobre um cachorro um gato ou um coelho,"cachorro, gato, coelho"
voce quer comer batata frita cachorro quente ou hamburguer,"batata frita, cachorro quente, hamburguer"
voce está triste ou cansado,"triste, cansado"
você está com fome ou com sede,"fome, sede"
voce quer uma duas ou tres colheres,"duas, tres"
você quer água suco refrigerante ou limonada,"água, suco, refrigerante, limonada"
é uma resposta fotópica ou escotópica,"fotópica, escotópica"
o índice é 1 ou 1.33,"1, 1.33"
Quantos anos você tem 7 ou 8,"7, 8"
Você gosta de frutas doces ou azedas,"doces, azedas"
Você quer uma fruta azeda ou doce,"azeda, doce"
Você prefere Android ou ios,"android, ios"
qual item você gostaria a b ou c,"a, b, c"
qual é a resposta correta a b ou c,"a, b, c"
qual item você gostaria um chá um café ou um refrigerante,"chá, café, refrigerante"
voce quer fritas hambúrguer feijao ou arroz,"fritas, hambúrguer, feijao, arroz"
voce quer dormir andar comer ou sonhar,"dormir, andar, comer, sonhar"
voce quer dormir com ou sem travesseiro,"com , sem"
voce quer ir na casa da sua tia ou ficar em casa,"tia, casa"
